"order_id","customer_id","order_date","shipping_city","shipping_state","shipping_region","shipping_country","shipping_postal_code","shipping_date","shipping_mode","order_details_id","product_id","quantity","order_discount","order_profits","order_profit_ratio","order_sales","customer_name","customer_segment","product_name","product_category","product_subcategory","product_manufacturer"
"CA-2015-100004","91","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-06 00:00:00","Same Day","1","122","62","0.1","327","0.39","837","Bill Shonely","Corporate","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other"
"CA-2015-100004","91","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-06 00:00:00","Same Day","2","764","18","0.2","565","0.26","2174","Bill Shonely","Corporate","Global Manager's Adjustable Task Chair, Storm","Furniture","Chairs","Global"
"CA-2015-100006","224","2015-09-07 00:00:00","New York City","New York","East","United States","10024","2015-09-13 00:00:00","Standard Class","3","161","3","0","110","0.29","378","Dennis Kane","Consumer","AT&T EL51110 DECT","Technology","Phones","AT&T"
"CA-2015-100032","62","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class","4","122","53","0.1","272","0.38","715","Arthur Wiediger","Home Office","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other"
"CA-2015-100032","62","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class","5","1342","23","0.1","96","0.31","311","Arthur Wiediger","Home Office","Recycled Premium Regency Composition Covers","Office Supplies","Binders","Other"
"CA-2015-100032","62","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class","6","613","16","0.1","407","0.27","1506","Arthur Wiediger","Home Office","Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red","Office Supplies","Appliances","Eureka"
"CA-2015-100051","311","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-12 00:00:00","Standard Class","7","812","79","0.2","318","0.35","909","Greg Matthias","Consumer","Holmes Odor Grabber","Office Supplies","Appliances","Holmes"
"CA-2015-100090","246","2015-07-08 00:00:00","San Francisco","California","West","United States","94122","2015-07-12 00:00:00","Standard Class","8","1648","6","0.2","69","0.35","197","Ed Braxton","Corporate","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue","Office Supplies","Binders","Wilson Jones"
"CA-2015-100090","246","2015-07-08 00:00:00","San Francisco","California","West","United States","94122","2015-07-12 00:00:00","Standard Class","9","819","3","0.2","-88","-0.18","502","Ed Braxton","Corporate","Hon 2111 Invitation Series Corner Table","Furniture","Tables","Hon"
"CA-2015-100136","388","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","10","920","130","0.3","1399","0.41","3413","John Lee","Consumer","Imation Clip USB flash drive - 8 GB","Technology","Accessories","Imation"
"CA-2015-100136","388","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","11","1216","94","0.1","64","0.21","305","John Lee","Consumer","OIC Binder Clips","Office Supplies","Fasteners","Other"
"CA-2015-100136","388","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","12","122","143","0.1","734","0.38","1931","John Lee","Consumer","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other"
"CA-2015-100136","388","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","13","1507","324","0.2","114","0.22","518","John Lee","Consumer","Staples","Office Supplies","Fasteners","Other"
"CA-2015-100136","388","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","14","1600","216","0.1","264","0.34","778","John Lee","Consumer","Unpadded Memo Slips","Office Supplies","Paper","Other"
"CA-2015-100293","564","2015-03-14 00:00:00","Jacksonville","Florida","South","United States","32216","2015-03-18 00:00:00","Standard Class","15","1677","6","0.2","32","0.35","91","Neil Französisch","Home Office","Xerox 1887","Office Supplies","Paper","Xerox"
"CA-2015-100328","355","2015-01-28 00:00:00","New York City","New York","East","United States","10024","2015-02-03 00:00:00","Standard Class","16","1313","1","0.2","1","0.34","4","Jasper Cacioppo","Consumer","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","Office Supplies","Binders","Pressboard"
"CA-2015-100363","376","2015-04-08 00:00:00","Glendale","Arizona","West","United States","85301","2015-04-15 00:00:00","Standard Class","17","326","2","0.2","1","0.35","2","Jim Mitchum","Corporate","Binder Clips by OIC","Office Supplies","Fasteners","OIC"
"CA-2015-100363","376","2015-04-08 00:00:00","Glendale","Arizona","West","United States","85301","2015-04-15 00:00:00","Standard Class","18","1568","3","0.2","7","0.36","19","Jim Mitchum","Corporate","Things To Do Today Spiral Book","Office Supplies","Paper","Things To Do"
"CA-2015-100391","71","2015-05-25 00:00:00","New York City","New York","East","United States","10035","2015-05-29 00:00:00","Standard Class","19","1523","2","0","7","0.46","15","Barry Weirich","Consumer","Strathmore Photo Frame Cards","Office Supplies","Paper","Strathmore"
"CA-2015-100678","447","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class","20","1306","2","0.2","1","0.38","3","Kunst Miller","Consumer","Prang Dustless Chalk Sticks","Office Supplies","Art","Prang"
"CA-2015-100678","447","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class","21","396","3","0.2","50","0.34","149","Kunst Miller","Consumer","Cameo Buff Policy Envelopes","Office Supplies","Envelopes","Other"
"CA-2015-100678","447","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class","22","956","3","0.2","28","0.13","228","Kunst Miller","Consumer","Kensington Expert Mouse Optical USB Trackball for PC or Mac","Technology","Accessories","Kensington"
"CA-2015-100678","447","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class","23","529","3","0.3","-18","-0.06","317","Kunst Miller","Consumer","DMI Arturo Collection Mission-style Design Wood Chair","Furniture","Chairs","DMI"
"CA-2015-100706","453","2015-12-16 00:00:00","Springfield","Virginia","South","United States","22153","2015-12-18 00:00:00","Second Class","24","1595","6","0","10","0.33","29","Laurel Elliston","Consumer","Ultra Door Push Plate","Furniture","Furnishings","Ultra"
"CA-2015-100706","453","2015-12-16 00:00:00","Springfield","Virginia","South","United States","22153","2015-12-18 00:00:00","Second Class","25","421","2","0","8","0.08","100","Laurel Elliston","Consumer","Case Logic 2.4GHz Wireless Keyboard","Technology","Accessories","Other"
"CA-2015-100762","556","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class","26","97","2","0","8","0.5","16","Nat Gilpin","Corporate","Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book","Office Supplies","Paper","Adams"
"CA-2015-100762","556","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class","27","1675","3","0","69","0.48","144","Nat Gilpin","Corporate","Xerox 1885","Office Supplies","Paper","Xerox"
"CA-2015-100762","556","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class","28","889","4","0","46","0.3","152","Nat Gilpin","Corporate","Hunt PowerHouse Electric Pencil Sharpener, Blue","Office Supplies","Art","Hunt"
"CA-2015-100762","556","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class","29","532","2","0","96","0.49","197","Nat Gilpin","Corporate","Dot Matrix Printer Tape Reel Labels, White, 5000/Box","Office Supplies","Labels","Other"
"CA-2015-100860","166","2015-03-26 00:00:00","Pomona","California","West","United States","91767","2015-03-30 00:00:00","Second Class","30","1462","5","0","9","0.48","19","Cindy Stewart","Consumer","Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set","Office Supplies","Labels","Smead"
"CA-2015-100867","274","2015-10-19 00:00:00","Lakewood","California","West","United States","90712","2015-10-24 00:00:00","Standard Class","31","1335","6","0.2","20","0.06","322","Eugene Hildebrand","Home Office","RCA Visys Integrated PBX 8-Line Router","Technology","Phones","RCA"
