customer_id,customer_name,segment,city,state,region
KA-CON-E-100,Dennis Kane,Consumer,New York City,New York,East
BR-COR-W-101,Ed Braxton,Corporate,San Francisco,California,West
BR-COR-W-102,Ed Braxton,Corporate,San Francisco,California,West
FR-HOM-S-103,Neil Französisch,Home Office,Jacksonville,Florida,South
CA-CON-E-104,Jasper Cacioppo,Consumer,New York City,New York,East
MI-COR-W-105,Jim Mitchum,Corporate,Glendale,Arizona,West
MI-COR-W-106,Jim Mitchum,Corporate,Glendale,Arizona,West
WE-CON-E-107,Barry Weirich,Consumer,New York City,New York,East
MI-CON-C-108,Kunst Miller,Consumer,Houston,Texas,Central
MI-CON-C-109,Kunst Miller,Consumer,Houston,Texas,Central
MI-CON-C-110,Kunst Miller,Consumer,Houston,Texas,Central
MI-CON-C-111,Kunst Miller,Consumer,Houston,Texas,Central
EL-CON-S-112,Laurel Elliston,Consumer,Springfield,Virginia,South
EL-CON-S-113,Laurel Elliston,Consumer,Springfield,Virginia,South
GI-COR-C-114,Nat Gilpin,Corporate,Jackson,Michigan,Central
GI-COR-C-115,Nat Gilpin,Corporate,Jackson,Michigan,Central
GI-COR-C-116,Nat Gilpin,Corporate,Jackson,Michigan,Central
GI-COR-C-117,Nat Gilpin,Corporate,Jackson,Michigan,Central
ST-CON-W-118,Cindy Stewart,Consumer,Pomona,California,West
HI-HOM-W-119,Eugene Hildebrand,Home Office,Lakewood,California,West
RA-HOM-W-120,Daniel Raglin,Home Office,Albuquerque,New Mexico,West
VI-CON-S-121,Stewart Visinsky,Consumer,Roswell,Georgia,South
VI-CON-S-122,Stewart Visinsky,Consumer,Roswell,Georgia,South
VI-CON-S-123,Stewart Visinsky,Consumer,Roswell,Georgia,South
HA-COR-S-124,Frank Hawley,Corporate,Newport News,Virginia,South
HA-COR-S-125,Frank Hawley,Corporate,Newport News,Virginia,South
HA-COR-S-126,Frank Hawley,Corporate,Newport News,Virginia,South
BO-HOM-W-127,Dennis Bolton,Home Office,Salt Lake City,Utah,West
CO-CON-C-128,Matt Collins,Consumer,Chicago,Illinois,Central
ME-COR-W-129,Dario Medina,Corporate,Mesa,Arizona,West
MO-CON-S-130,Michael Moore,Consumer,Springfield,Virginia,South
WI-HOM-E-131,Tamara Willingham,Home Office,New York City,New York,East
ST-HOM-W-132,Ann Steele,Home Office,Seattle,Washington,West
YO-COR-E-133,Andy Yotov,Corporate,Philadelphia,Pennsylvania,East
